ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-11,43984.25600753992,-84834.98738758627,131955.72670287485,43984.25600753992,43984.25600753992,-16846.239960701867,-16846.239960701867,-16846.239960701867,-16846.239960701867,-16846.239960701867,-16846.239960701867,0.0,0.0,0.0,27138.016046838056
2020-02-12,46664.13237300295,-73948.15164537441,146791.5260714656,46664.13237300295,46664.13237300295,-11063.558307260426,-11063.558307260426,-11063.558307260426,-11063.558307260426,-11063.558307260426,-11063.558307260426,0.0,0.0,0.0,35600.57406574252
2020-02-13,49344.00873846596,-52247.356472024636,151016.54580606453,49344.00873846596,49344.00873846596,-1117.5438632921266,-1117.5438632921266,-1117.5438632921266,-1117.5438632921266,-1117.5438632921266,-1117.5438632921266,0.0,0.0,0.0,48226.46487517383
2020-02-14,52023.88510392897,-43321.678794172505,169128.0505076486,52023.88510392897,52023.88510392897,10080.978736654457,10080.978736654457,10080.978736654457,10080.978736654457,10080.978736654457,10080.978736654457,0.0,0.0,0.0,62104.86384058343
2020-02-15,54703.76146939198,-38436.55106000948,171682.42724577716,54703.76146939198,54703.76146939198,13750.326871362353,13750.326871362353,13750.326871362353,13750.326871362353,13750.326871362353,13750.326871362353,0.0,0.0,0.0,68454.08834075433
2020-02-16,57383.6374273633,-39440.21863455223,173033.69140451192,57383.6374273633,57383.6374273633,7298.791977850359,7298.791977850359,7298.791977850359,7298.791977850359,7298.791977850359,7298.791977850359,0.0,0.0,0.0,64682.429405213654
2020-02-17,60063.51338533462,-46748.951712910784,157153.97249642923,60063.51338533462,60063.51338533462,-2102.7554546059455,-2102.7554546059455,-2102.7554546059455,-2102.7554546059455,-2102.7554546059455,-2102.7554546059455,0.0,0.0,0.0,57960.75793072867
2020-02-18,62743.38934330593,-58336.29896397661,151059.9315273868,62743.38934330593,62743.38934330593,-16846.2399607073,-16846.2399607073,-16846.2399607073,-16846.2399607073,-16846.2399607073,-16846.2399607073,0.0,0.0,0.0,45897.149382598625
2020-02-19,65423.26530127725,-48049.55510386163,170796.3652238245,65423.26530127725,65423.26530127725,-11063.558307262605,-11063.558307262605,-11063.558307262605,-11063.558307262605,-11063.558307262605,-11063.558307262605,0.0,0.0,0.0,54359.70699401465
2020-02-20,68103.14125924857,-34509.80594224402,179831.39559004773,68103.14125924857,68103.14125924857,-1117.543863256765,-1117.543863256765,-1117.543863256765,-1117.543863256765,-1117.543863256765,-1117.543863256765,0.0,0.0,0.0,66985.5973959918
2020-02-21,70783.01721721988,-19729.73914106106,186851.6669011761,70783.01721721988,70783.01721721988,10080.978736656287,10080.978736656287,10080.978736656287,10080.978736656287,10080.978736656287,10080.978736656287,0.0,0.0,0.0,80863.99595387616
2020-02-22,73462.89214692985,-17238.519080401464,191095.40958688114,73462.89214692985,73462.89214692985,13750.326871366222,13750.326871366222,13750.326871366222,13750.326871366222,13750.326871366222,13750.326871366222,0.0,0.0,0.0,87213.21901829608
2020-02-23,76142.76707663982,-27767.272083564723,194505.6176125804,76142.76707663982,76142.76707663982,7298.7919778509495,7298.7919778509495,7298.7919778509495,7298.7919778509495,7298.7919778509495,7298.7919778509495,0.0,0.0,0.0,83441.55905449078
2020-02-24,78822.6420063498,-29551.630161496192,183106.33508285106,78822.6420063498,78822.6420063498,-2102.7554546197084,-2102.7554546197084,-2102.7554546197084,-2102.7554546197084,-2102.7554546197084,-2102.7554546197084,0.0,0.0,0.0,76719.88655173009
2020-02-25,81502.51693605976,-41040.88576175556,160469.4028502301,81502.51693605976,81502.51693605976,-16846.23996071089,-16846.23996071089,-16846.23996071089,-16846.23996071089,-16846.23996071089,-16846.23996071089,0.0,0.0,0.0,64656.276975348876
2020-02-26,84182.39186576974,-31995.57002147667,174799.1703464,84182.39186576974,84182.39186576974,-11063.558307249867,-11063.558307249867,-11063.558307249867,-11063.558307249867,-11063.558307249867,-11063.558307249867,0.0,0.0,0.0,73118.83355851987
2020-02-27,86862.2667954797,-23822.712951083264,189089.79474480022,86862.2667954797,86862.2667954797,-1117.543863308616,-1117.543863308616,-1117.543863308616,-1117.543863308616,-1117.543863308616,-1117.543863308616,0.0,0.0,0.0,85744.72293217109
2020-02-28,89828.27303269117,-3114.6277751893463,199094.18359859678,89828.27303269117,89828.27303269117,10080.978736658122,10080.978736658122,10080.978736658122,10080.978736658122,10080.978736658122,10080.978736658122,0.0,0.0,0.0,99909.2517693493
2020-02-29,92794.27926990265,7686.733329058312,208930.39964546348,92794.27926990265,92794.27926990265,13750.32687135625,13750.32687135625,13750.32687135625,13750.32687135625,13750.32687135625,13750.32687135625,0.0,0.0,0.0,106544.6061412589
2020-03-01,95760.2855071141,-7780.768453159824,207320.30883307557,95760.2855071141,95760.2855071141,7298.791977869258,7298.791977869258,7298.791977869258,7298.791977869258,7298.791977869258,7298.791977869258,0.0,0.0,0.0,103059.07748498335
2020-03-02,98726.29174432556,-3751.4525621040025,205892.40471508558,98726.29174432556,98726.29174432556,-2102.7554546251836,-2102.7554546251836,-2102.7554546251836,-2102.7554546251836,-2102.7554546251836,-2102.7554546251836,0.0,0.0,0.0,96623.53628970038
2020-03-03,101692.297981537,-15345.065507091565,186988.00101535395,101692.297981537,101692.297981537,-16846.23996071448,-16846.23996071448,-16846.23996071448,-16846.23996071448,-16846.23996071448,-16846.23996071448,0.0,0.0,0.0,84846.05802082253
2020-03-04,104658.3042187485,-12286.685719018056,200645.32250901905,104658.3042187485,104658.3042187485,-11063.558307283023,-11063.558307283023,-11063.558307283023,-11063.558307283023,-11063.558307283023,-11063.558307283023,0.0,0.0,0.0,93594.74591146548
2020-03-05,108493.51397264139,1169.8670419570174,210318.60528522794,108493.51397264139,108493.51397264139,-1117.5438632964594,-1117.5438632964594,-1117.5438632964594,-1117.5438632964594,-1117.5438632964594,-1117.5438632964594,0.0,0.0,0.0,107375.97010934493
2020-03-06,112328.72372653428,22556.054058976126,224993.65742013123,112328.72372653428,112328.72372653428,10080.978736673398,10080.978736673398,10080.978736673398,10080.978736673398,10080.978736673398,10080.978736673398,0.0,0.0,0.0,122409.70246320768
2020-03-07,116163.93348042718,26625.237192867196,234266.0380726403,116163.93348042718,116163.93348042718,13750.326871358904,13750.326871358904,13750.326871358904,13750.326871358904,13750.326871358904,13750.326871358904,0.0,0.0,0.0,129914.26035178608
2020-03-08,119999.1432343201,26161.357807241824,228588.85111099313,119999.1432343201,119999.1432343201,7298.791977869851,7298.791977869851,7298.791977869851,7298.791977869851,7298.791977869851,7298.791977869851,0.0,0.0,0.0,127297.93521218996
2020-03-09,123834.35298821302,14118.099787965748,224927.96493432575,123834.35298821302,123834.35298821302,-2102.755454580777,-2102.755454580777,-2102.755454580777,-2102.755454580777,-2102.755454580777,-2102.755454580777,0.0,0.0,0.0,121731.59753363224
2020-03-10,127669.56274210595,2431.219336573761,216737.6522416623,127669.56274210595,127669.56274210595,-16846.239960718063,-16846.239960718063,-16846.239960718063,-16846.239960718063,-16846.239960718063,-16846.239960718063,0.0,0.0,0.0,110823.32278138789
2020-03-11,134038.33543375973,20658.56969128905,231480.73741545618,134038.33543375973,134038.33543375973,-11063.558307270281,-11063.558307270281,-11063.558307270281,-11063.558307270281,-11063.558307270281,-11063.558307270281,0.0,0.0,0.0,122974.77712648944
2020-03-12,140407.10812541356,38386.30737924065,242036.6271219651,140407.10812541356,140407.10812541356,-1117.5438632959056,-1117.5438632959056,-1117.5438632959056,-1117.5438632959056,-1117.5438632959056,-1117.5438632959056,0.0,0.0,0.0,139289.56426211767
2020-03-13,146775.88081706731,48221.427357838824,262161.03372490045,146775.88081706731,146775.88081706731,10080.978736661784,10080.978736661784,10080.978736661784,10080.978736661784,10080.978736661784,10080.978736661784,0.0,0.0,0.0,156856.8595537291
